Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D484,0.342,0.168,0.09,0.166,0.901,0.657,0.256,0.075,0.051,0.09,0.402,0.185,0.051,0.576,0.973,0.919,0.503,0.807,0.03,0.018,0.6,0.0,0.001
D485,0.177,0.019,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.196,0.0,0.0,0.036,0.745,0.953,0.5,0.892,0.03,0.015,0.5,0.0,0.001
D486,0.202,0.03,0.015,0.152,0.328,0.0,0.018,0.006,0.012,0.007,0.199,0.009,0.009,0.072,0.803,0.936,0.414,0.889,0.03,0.015,0.5,0.001,0.002
D487,0.322,0.116,0.06,0.226,0.904,0.767,0.144,0.045,0.039,0.045,0.348,0.093,0.06,0.373,0.948,0.955,0.507,0.905,0.03,0.015,0.5,0.0,0.0
D488,0.347,0.184,0.1,0.305,0.934,0.815,0.229,0.078,0.072,0.069,0.366,0.158,0.087,0.466,0.952,0.94,0.441,0.876,0.03,0.015,0.5,0.003,0.009
D489,0.156,0.043,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.116,0.0,0.0,0.009,0.5,0.939,0.519,0.852,0.03,0.012,0.4,0.0,0.001
D49,0.37,0.341,0.176,0.006,0.675,0.137,0.056,0.113,0.101,0.109,0.449,0.212,0.087,0.899,0.968,0.992,0.891,0.962,0.06,0.051,0.85,0.002,0.006
D490,0.155,0.04,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.114,0.0,0.0,0.009,0.499,0.936,0.511,0.848,0.03,0.012,0.4,0.001,0.004
D491,0.286,0.118,0.043,0.042,0.794,0.448,0.142,0.036,0.039,0.049,0.33,0.099,0.033,0.296,0.932,0.961,0.597,0.883,0.03,0.012,0.4,0.002,0.006
D492,0.352,0.251,0.127,0.073,0.869,0.666,0.399,0.099,0.101,0.085,0.387,0.161,0.11,0.573,0.972,0.962,0.597,0.876,0.03,0.012,0.4,0.0,0.0
D493,0.153,0.032,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.127,0.0,0.0,0.021,0.654,0.921,0.39,0.862,0.03,0.009,0.3,0.001,0.001
D494,0.174,0.041,0.016,0.001,0.301,0.0,0.001,0.003,0.0,0.004,0.13,0.006,0.003,0.045,0.716,0.93,0.412,0.875,0.03,0.009,0.3,0.0,0.0
D495,0.291,0.113,0.056,0.121,0.893,0.573,0.15,0.042,0.036,0.048,0.326,0.101,0.036,0.355,0.948,0.935,0.448,0.878,0.03,0.009,0.3,0.0,0.0
D496,0.344,0.255,0.127,0.265,0.919,0.812,0.196,0.101,0.075,0.099,0.375,0.2,0.09,0.549,0.971,0.936,0.387,0.879,0.03,0.009,0.3,0.0,0.0
D497,0.196,0.012,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.246,0.0,0.0,0.009,0.5,0.981,0.779,0.916,0.06,0.045,0.75,0.001,0.001
D498,0.218,0.017,0.008,0.0,0.191,0.003,0.0,0.0,0.0,0.004,0.246,0.006,0.0,0.215,0.648,0.98,0.763,0.919,0.06,0.042,0.7,0.001,0.002
D499,0.358,0.12,0.061,0.033,0.824,0.546,0.151,0.054,0.039,0.042,0.423,0.084,0.06,0.943,0.951,0.982,0.801,0.916,0.06,0.045,0.75,0.0,0.0
D5,0.391,0.605,0.392,0.021,0.66,0.29,0.124,0.242,0.194,0.142,0.429,0.254,0.143,0.812,0.982,0.967,0.627,0.875,0.03,0.024,0.8,0.001,0.001
D50,0.407,0.356,0.192,0.018,0.878,0.558,0.076,0.131,0.075,0.116,0.452,0.236,0.099,0.955,0.975,0.996,0.916,0.956,0.06,0.051,0.85,0.0,0.001
D500,0.42,0.307,0.173,0.052,0.931,0.675,0.324,0.134,0.113,0.115,0.455,0.239,0.137,0.979,0.981,0.987,0.847,0.924,0.06,0.045,0.75,0.002,0.006
D501,0.22,0.019,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.31,0.0,0.0,0.245,0.749,0.985,0.78,0.929,0.06,0.042,0.7,0.0,0.0
D502,0.235,0.03,0.014,0.026,0.257,0.0,0.0,0.0,0.0,0.007,0.316,0.009,0.006,0.236,0.817,0.985,0.734,0.939,0.06,0.042,0.7,0.0,0.0
D503,0.355,0.128,0.062,0.025,0.916,0.49,0.097,0.048,0.039,0.042,0.411,0.078,0.06,0.857,0.955,0.992,0.859,0.957,0.06,0.042,0.7,0.0,0.0
D504,0.41,0.269,0.142,0.028,0.976,0.642,0.214,0.113,0.093,0.109,0.444,0.2,0.122,0.958,0.979,0.997,0.965,0.965,0.06,0.042,0.7,0.0,0.001
D505,0.189,0.041,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.215,0.0,0.0,0.009,0.501,0.98,0.749,0.914,0.06,0.039,0.65,0.0,0.0
D506,0.262,0.059,0.012,0.001,0.409,0.006,0.003,0.009,0.0,0.01,0.279,0.018,0.012,0.409,0.858,0.997,0.961,0.974,0.06,0.039,0.65,0.0,0.0
D507,0.359,0.154,0.068,0.016,0.773,0.391,0.233,0.06,0.063,0.06,0.423,0.122,0.054,0.827,0.956,0.998,0.967,0.976,0.06,0.039,0.65,0.0,0.0
D508,0.395,0.246,0.122,0.03,0.881,0.555,0.272,0.101,0.099,0.099,0.44,0.188,0.093,0.89,0.976,0.998,0.962,0.978,0.06,0.039,0.65,0.001,0.004
D509,0.187,0.034,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.22,0.0,0.0,0.048,0.651,0.969,0.594,0.931,0.06,0.033,0.55,0.0,0.001
D51,0.423,0.451,0.23,0.021,0.973,0.534,0.098,0.167,0.093,0.14,0.46,0.296,0.116,0.979,0.981,0.992,0.885,0.937,0.06,0.051,0.85,0.0,0.0
D510,0.209,0.039,0.016,0.0,0.155,0.0,0.0,0.0,0.0,0.009,0.227,0.015,0.006,0.072,0.695,0.988,0.783,0.952,0.06,0.033,0.55,0.001,0.003
D511,0.332,0.125,0.059,0.028,0.809,0.367,0.144,0.048,0.027,0.04,0.405,0.09,0.03,0.815,0.956,0.988,0.778,0.946,0.06,0.033,0.55,0.0,0.0
D512,0.377,0.26,0.142,0.069,0.842,0.558,0.253,0.11,0.107,0.09,0.434,0.2,0.093,0.916,0.976,0.983,0.728,0.939,0.06,0.03,0.5,0.0,0.0
D513,0.315,0.244,0.078,0.034,0.658,0.137,0.005,0.021,0.012,0.061,0.397,0.118,0.037,0.718,0.978,0.985,0.701,0.913,0.015,0.012,0.8,0.0,0.0
D514,0.332,0.26,0.08,0.028,0.672,0.451,0.009,0.03,0.024,0.068,0.399,0.131,0.04,0.703,0.983,0.984,0.698,0.908,0.015,0.012,0.8,0.0,0.0
D515,0.402,0.333,0.139,0.241,0.957,0.888,0.046,0.087,0.076,0.091,0.415,0.169,0.063,0.793,0.99,0.993,0.785,0.947,0.015,0.012,0.8,0.0,0.001
D516,0.422,0.407,0.181,0.179,0.972,0.899,0.067,0.122,0.113,0.125,0.429,0.249,0.116,0.845,0.993,0.994,0.802,0.952,0.015,0.012,0.8,0.001,0.003
D517,0.387,0.384,0.232,0.045,0.815,0.599,0.056,0.181,0.106,0.125,0.431,0.233,0.119,0.842,0.993,0.979,0.641,0.907,0.015,0.012,0.8,0.001,0.001
D518,0.396,0.415,0.257,0.047,0.812,0.591,0.065,0.191,0.157,0.128,0.434,0.24,0.122,0.86,0.993,0.985,0.673,0.922,0.015,0.012,0.8,0.0,0.0
D519,0.418,0.494,0.313,0.099,0.913,0.772,0.084,0.218,0.158,0.14,0.437,0.266,0.158,0.87,0.994,0.968,0.592,0.882,0.015,0.012,0.8,0.002,0.006
D52,0.444,0.509,0.285,0.035,0.961,0.633,0.135,0.197,0.14,0.154,0.462,0.319,0.137,0.985,0.986,0.995,0.903,0.962,0.06,0.051,0.85,0.001,0.003
D520,0.466,0.626,0.446,0.152,0.984,0.913,0.122,0.281,0.23,0.182,0.451,0.352,0.181,0.928,0.995,0.983,0.676,0.918,0.015,0.012,0.8,0.0,0.0
D521,0.306,0.483,0.094,0.022,0.728,0.322,0.015,0.057,0.018,0.038,0.355,0.085,0.028,0.463,0.948,0.957,0.544,0.858,0.015,0.01,0.7,0.0,0.0
D522,0.339,0.517,0.119,0.02,0.81,0.581,0.029,0.079,0.03,0.06,0.368,0.104,0.039,0.536,0.958,0.953,0.538,0.886,0.015,0.012,0.8,0.0,0.001
D523,0.383,0.598,0.172,0.062,0.939,0.813,0.073,0.104,0.067,0.088,0.402,0.169,0.076,0.673,0.988,0.958,0.554,0.86,0.015,0.012,0.8,0.001,0.002
D524,0.407,0.632,0.204,0.125,0.969,0.857,0.093,0.139,0.133,0.11,0.414,0.219,0.121,0.743,0.99,0.96,0.549,0.872,0.015,0.012,0.8,0.0,0.001
D525,0.415,0.777,0.308,0.029,0.964,0.849,0.105,0.203,0.17,0.13,0.422,0.245,0.173,0.782,0.991,0.933,0.483,0.836,0.015,0.01,0.7,0.0,0.001
D526,0.426,0.781,0.351,0.056,0.955,0.827,0.125,0.231,0.185,0.146,0.425,0.282,0.196,0.809,0.991,0.939,0.491,0.847,0.015,0.01,0.7,0.001,0.003
D527,0.446,0.813,0.405,0.176,0.988,0.915,0.14,0.249,0.185,0.17,0.439,0.339,0.196,0.843,0.994,0.93,0.465,0.833,0.015,0.01,0.7,0.0,0.0
D528,0.452,0.831,0.445,0.093,0.984,0.939,0.147,0.252,0.234,0.171,0.441,0.351,0.23,0.851,0.994,0.933,0.478,0.839,0.015,0.01,0.7,0.0,0.001
D529,0.343,0.233,0.072,0.011,0.599,0.051,0.004,0.016,0.012,0.11,0.459,0.224,0.048,0.979,0.991,0.995,0.877,0.962,0.03,0.025,0.85,0.001,0.002
D53,0.363,0.271,0.142,0.006,0.696,0.09,0.034,0.096,0.045,0.134,0.46,0.272,0.072,0.994,0.984,0.988,0.828,0.912,0.06,0.051,0.85,0.002,0.006
D530,0.383,0.267,0.086,0.017,0.704,0.549,0.014,0.031,0.016,0.118,0.462,0.234,0.075,0.993,0.992,0.999,0.972,0.985,0.03,0.025,0.85,0.0,0.001
D531,0.43,0.367,0.154,0.038,0.961,0.831,0.053,0.094,0.07,0.146,0.467,0.293,0.107,0.994,0.994,0.999,0.988,0.988,0.03,0.025,0.85,0.0,0.0
D532,0.433,0.427,0.197,0.019,0.946,0.83,0.073,0.134,0.112,0.17,0.471,0.322,0.146,1.0,0.995,0.993,0.845,0.947,0.03,0.025,0.85,0.0,0.0
D533,0.42,0.383,0.231,0.009,0.821,0.531,0.058,0.182,0.145,0.172,0.472,0.345,0.133,0.997,0.995,0.996,0.899,0.959,0.03,0.025,0.85,0.0,0.0
D534,0.432,0.409,0.247,0.007,0.925,0.652,0.065,0.194,0.143,0.173,0.472,0.346,0.14,0.996,0.995,0.996,0.882,0.945,0.03,0.025,0.85,0.001,0.002
D535,0.444,0.445,0.277,0.019,0.933,0.779,0.076,0.203,0.158,0.192,0.474,0.378,0.145,0.997,0.996,0.994,0.86,0.944,0.03,0.025,0.85,0.0,0.0
D536,0.468,0.573,0.366,0.015,0.936,0.794,0.105,0.237,0.187,0.214,0.478,0.425,0.181,0.999,0.996,0.997,0.922,0.964,0.03,0.025,0.85,0.0,0.001
D537,0.367,0.471,0.1,0.006,0.721,0.321,0.017,0.063,0.022,0.087,0.446,0.176,0.055,0.94,0.979,0.992,0.832,0.948,0.03,0.025,0.85,0.0,0.0
D538,0.386,0.554,0.122,0.013,0.804,0.604,0.035,0.084,0.033,0.072,0.446,0.139,0.045,0.934,0.981,0.991,0.796,0.941,0.03,0.025,0.85,0.0,0.0
D539,0.414,0.58,0.167,0.016,0.942,0.751,0.071,0.112,0.067,0.101,0.455,0.196,0.061,0.984,0.989,0.99,0.786,0.945,0.03,0.025,0.85,0.0,0.0
D54,0.394,0.286,0.152,0.01,0.812,0.519,0.045,0.101,0.057,0.134,0.458,0.251,0.084,0.982,0.983,0.993,0.892,0.941,0.06,0.051,0.85,0.001,0.002
D540,0.448,0.643,0.24,0.028,0.981,0.875,0.12,0.157,0.109,0.139,0.462,0.261,0.127,0.996,0.993,0.996,0.893,0.94,0.03,0.025,0.85,0.0,0.001
D541,0.449,0.753,0.295,0.01,0.955,0.757,0.104,0.199,0.151,0.17,0.465,0.313,0.167,0.984,0.994,0.989,0.77,0.942,0.03,0.024,0.8,0.0,0.0
D542,0.455,0.746,0.31,0.014,0.96,0.781,0.108,0.215,0.184,0.167,0.466,0.327,0.164,0.988,0.994,0.99,0.795,0.939,0.03,0.024,0.8,0.001,0.001
D543,0.47,0.772,0.362,0.019,0.978,0.852,0.131,0.237,0.178,0.184,0.468,0.372,0.187,0.991,0.994,0.992,0.829,0.939,0.03,0.024,0.8,0.0,0.0
D544,0.488,0.831,0.47,0.013,0.966,0.858,0.156,0.279,0.231,0.204,0.474,0.394,0.225,0.994,0.996,0.993,0.848,0.955,0.03,0.024,0.8,0.0,0.001
D545,0.223,0.071,0.02,0.002,0.048,0.0,0.0,0.0,0.0,0.002,0.303,0.003,0.001,0.251,0.846,0.978,0.656,0.895,0.015,0.012,0.8,0.0,0.0
D546,0.248,0.081,0.023,0.01,0.404,0.003,0.006,0.004,0.006,0.01,0.322,0.021,0.003,0.284,0.921,0.977,0.652,0.9,0.015,0.012,0.8,0.0,0.0
D547,0.367,0.176,0.08,0.296,0.957,0.867,0.073,0.054,0.046,0.05,0.376,0.093,0.046,0.491,0.976,0.99,0.733,0.942,0.015,0.012,0.8,0.0,0.001
D548,0.395,0.262,0.128,0.217,0.972,0.899,0.119,0.097,0.085,0.096,0.407,0.197,0.084,0.628,0.988,0.991,0.762,0.933,0.015,0.012,0.8,0.001,0.003
D549,0.283,0.148,0.079,0.029,0.276,0.216,0.007,0.031,0.013,0.019,0.377,0.027,0.015,0.613,0.971,0.985,0.654,0.929,0.015,0.012,0.8,0.001,0.001
D55,0.415,0.365,0.196,0.012,0.878,0.594,0.079,0.155,0.072,0.149,0.462,0.275,0.066,0.991,0.985,0.997,0.937,0.959,0.06,0.051,0.85,0.0,0.001
D550,0.32,0.172,0.093,0.069,0.658,0.416,0.018,0.057,0.025,0.028,0.382,0.042,0.024,0.657,0.976,0.988,0.68,0.938,0.015,0.012,0.8,0.0,0.0
D551,0.375,0.264,0.148,0.173,0.934,0.796,0.063,0.101,0.072,0.066,0.4,0.122,0.082,0.707,0.985,0.978,0.605,0.919,0.015,0.012,0.8,0.002,0.006
D552,0.417,0.396,0.244,0.182,0.984,0.912,0.118,0.152,0.136,0.111,0.422,0.219,0.121,0.794,0.991,0.984,0.66,0.929,0.015,0.012,0.8,0.0,0.0
D553,0.232,0.194,0.026,0.006,0.573,0.0,0.0,0.0,0.0,0.002,0.261,0.003,0.0,0.172,0.766,0.96,0.553,0.862,0.015,0.01,0.7,0.0,0.0
D554,0.256,0.228,0.04,0.017,0.739,0.054,0.017,0.013,0.006,0.012,0.29,0.016,0.009,0.212,0.876,0.954,0.544,0.888,0.015,0.01,0.7,0.0,0.001
D555,0.339,0.312,0.091,0.078,0.91,0.752,0.104,0.055,0.046,0.054,0.373,0.099,0.055,0.452,0.979,0.961,0.554,0.864,0.015,0.01,0.7,0.001,0.002
D556,0.373,0.374,0.133,0.126,0.966,0.833,0.147,0.09,0.094,0.076,0.396,0.148,0.076,0.588,0.986,0.966,0.574,0.899,0.015,0.01,0.7,0.0,0.001
D557,0.349,0.427,0.13,0.023,0.884,0.734,0.055,0.11,0.073,0.084,0.38,0.157,0.079,0.56,0.98,0.939,0.49,0.838,0.015,0.01,0.7,0.0,0.001
D558,0.36,0.446,0.153,0.044,0.893,0.803,0.075,0.125,0.069,0.092,0.384,0.161,0.085,0.588,0.981,0.939,0.485,0.86,0.015,0.01,0.7,0.001,0.003
D559,0.396,0.531,0.218,0.151,0.984,0.858,0.118,0.158,0.113,0.119,0.408,0.219,0.134,0.703,0.989,0.938,0.482,0.853,0.015,0.01,0.7,0.0,0.0
D56,0.431,0.447,0.268,0.01,0.869,0.582,0.126,0.206,0.137,0.175,0.467,0.331,0.137,0.982,0.988,0.992,0.867,0.944,0.06,0.051,0.85,0.001,0.002
D560,0.407,0.564,0.256,0.097,0.975,0.897,0.139,0.193,0.148,0.131,0.416,0.26,0.137,0.728,0.991,0.942,0.492,0.861,0.015,0.01,0.7,0.0,0.001
D561,0.274,0.067,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.01,0.412,0.018,0.004,0.876,0.934,0.993,0.836,0.955,0.03,0.025,0.85,0.001,0.002
D562,0.315,0.088,0.029,0.013,0.555,0.0,0.011,0.009,0.007,0.016,0.419,0.03,0.003,0.939,0.958,0.999,0.973,0.983,0.03,0.025,0.85,0.0,0.001
D563,0.402,0.201,0.091,0.046,0.957,0.824,0.08,0.067,0.058,0.072,0.444,0.136,0.04,0.964,0.986,0.999,0.981,0.986,0.03,0.025,0.85,0.0,0.0
D564,0.411,0.291,0.145,0.028,0.946,0.83,0.126,0.11,0.087,0.107,0.454,0.201,0.079,0.996,0.99,0.991,0.808,0.943,0.03,0.025,0.85,0.0,0.0
D565,0.314,0.141,0.075,0.005,0.194,0.104,0.006,0.031,0.01,0.061,0.45,0.113,0.022,0.988,0.988,0.996,0.866,0.952,0.03,0.025,0.85,0.0,0.0
D566,0.353,0.163,0.086,0.01,0.854,0.154,0.018,0.045,0.018,0.073,0.453,0.133,0.037,0.994,0.99,0.996,0.88,0.95,0.03,0.025,0.85,0.001,0.002
D567,0.391,0.216,0.118,0.029,0.933,0.734,0.042,0.078,0.048,0.087,0.456,0.163,0.04,0.99,0.991,0.993,0.842,0.945,0.03,0.025,0.85,0.0,0.0
D568,0.425,0.36,0.205,0.023,0.925,0.787,0.101,0.131,0.101,0.134,0.466,0.276,0.107,0.996,0.994,0.996,0.885,0.96,0.03,0.025,0.85,0.0,0.001
D569,0.288,0.192,0.027,0.002,0.564,0.0,0.0,0.0,0.0,0.006,0.385,0.012,0.001,0.64,0.858,0.99,0.807,0.94,0.03,0.025,0.85,0.0,0.0
D57,0.394,0.388,0.203,0.005,0.737,0.454,0.071,0.17,0.101,0.119,0.454,0.224,0.078,0.97,0.982,0.99,0.822,0.935,0.06,0.051,0.85,0.0,0.0
D570,0.335,0.243,0.043,0.019,0.809,0.442,0.023,0.016,0.021,0.015,0.401,0.028,0.01,0.719,0.934,0.991,0.797,0.942,0.03,0.025,0.85,0.0,0.0
D571,0.384,0.299,0.089,0.023,0.93,0.73,0.09,0.054,0.046,0.054,0.434,0.115,0.052,0.93,0.98,0.99,0.791,0.945,0.03,0.025,0.85,0.0,0.0
D572,0.426,0.412,0.161,0.033,0.967,0.861,0.189,0.106,0.1,0.102,0.45,0.199,0.087,0.988,0.99,0.995,0.883,0.941,0.03,0.025,0.85,0.0,0.001
D573,0.39,0.42,0.127,0.007,0.867,0.625,0.055,0.113,0.069,0.106,0.447,0.194,0.064,0.954,0.987,0.987,0.765,0.935,0.03,0.024,0.8,0.0,0.0
D574,0.402,0.42,0.136,0.012,0.934,0.713,0.062,0.11,0.093,0.096,0.447,0.187,0.09,0.946,0.988,0.992,0.817,0.948,0.03,0.024,0.8,0.001,0.001
D575,0.42,0.48,0.183,0.02,0.97,0.821,0.1,0.148,0.107,0.124,0.454,0.237,0.1,0.966,0.991,0.988,0.769,0.93,0.03,0.024,0.8,0.0,0.0
D576,0.45,0.588,0.282,0.015,0.96,0.855,0.156,0.194,0.146,0.163,0.464,0.312,0.139,0.99,0.995,0.993,0.842,0.96,0.03,0.024,0.8,0.0,0.001
D577,0.176,0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.187,0.0,0.0,0.031,0.51,0.957,0.568,0.874,0.015,0.01,0.7,0.0,0.0
D578,0.209,0.027,0.009,0.003,0.363,0.003,0.01,0.004,0.001,0.009,0.241,0.018,0.003,0.07,0.707,0.959,0.564,0.875,0.015,0.01,0.7,0.0,0.0
D579,0.352,0.128,0.064,0.294,0.952,0.866,0.136,0.054,0.055,0.049,0.371,0.09,0.046,0.434,0.973,0.976,0.635,0.904,0.015,0.01,0.7,0.0,0.001
D58,0.402,0.37,0.204,0.003,0.839,0.466,0.086,0.164,0.122,0.128,0.453,0.251,0.078,0.955,0.981,0.99,0.858,0.928,0.06,0.051,0.85,0.001,0.001
D580,0.389,0.219,0.116,0.266,0.972,0.899,0.219,0.096,0.104,0.096,0.406,0.197,0.107,0.624,0.988,0.978,0.639,0.907,0.015,0.01,0.7,0.001,0.003
D581,0.208,0.044,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.275,0.0,0.0,0.196,0.833,0.978,0.572,0.917,0.015,0.01,0.7,0.001,0.001
D582,0.266,0.063,0.032,0.123,0.658,0.272,0.015,0.009,0.007,0.009,0.291,0.015,0.01,0.209,0.897,0.981,0.617,0.924,0.015,0.01,0.7,0.0,0.0
D583,0.35,0.161,0.085,0.354,0.934,0.824,0.099,0.055,0.058,0.057,0.363,0.106,0.042,0.425,0.971,0.97,0.542,0.913,0.015,0.01,0.7,0.002,0.006
D584,0.389,0.28,0.161,0.249,0.984,0.903,0.181,0.1,0.081,0.095,0.4,0.185,0.094,0.642,0.988,0.978,0.593,0.92,0.015,0.01,0.7,0.0,0.0
D585,0.165,0.057,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.155,0.0,0.0,0.016,0.512,0.935,0.496,0.83,0.015,0.009,0.6,0.0,0.0
D586,0.217,0.084,0.018,0.007,0.452,0.009,0.035,0.01,0.012,0.011,0.209,0.015,0.007,0.125,0.819,0.944,0.513,0.875,0.015,0.009,0.6,0.0,0.001
D587,0.318,0.173,0.069,0.076,0.837,0.572,0.186,0.055,0.058,0.054,0.368,0.099,0.052,0.424,0.977,0.953,0.538,0.888,0.015,0.009,0.6,0.001,0.002
D588,0.365,0.248,0.114,0.153,0.967,0.815,0.251,0.093,0.085,0.078,0.395,0.152,0.107,0.582,0.986,0.954,0.54,0.879,0.015,0.009,0.6,0.0,0.001
D589,0.217,0.147,0.052,0.005,0.29,0.058,0.006,0.016,0.007,0.012,0.272,0.021,0.012,0.148,0.891,0.936,0.409,0.875,0.015,0.009,0.6,0.0,0.001
D59,0.43,0.477,0.289,0.015,0.925,0.588,0.127,0.212,0.167,0.142,0.462,0.278,0.11,0.988,0.986,0.988,0.807,0.936,0.06,0.051,0.85,0.0,0.001
D590,0.271,0.17,0.066,0.023,0.801,0.387,0.028,0.03,0.018,0.029,0.291,0.052,0.025,0.246,0.941,0.938,0.414,0.872,0.015,0.009,0.6,0.001,0.003
D591,0.344,0.284,0.132,0.153,0.961,0.794,0.133,0.085,0.075,0.069,0.357,0.134,0.09,0.473,0.978,0.94,0.416,0.87,0.015,0.009,0.6,0.0,0.0
D592,0.363,0.326,0.166,0.111,0.964,0.885,0.172,0.103,0.094,0.089,0.387,0.17,0.096,0.557,0.986,0.945,0.44,0.875,0.015,0.009,0.6,0.0,0.001
D593,0.215,0.017,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.315,0.0,0.0,0.297,0.553,0.987,0.772,0.934,0.03,0.024,0.8,0.001,0.002
D594,0.274,0.035,0.014,0.011,0.472,0.0,0.015,0.009,0.007,0.007,0.356,0.013,0.012,0.458,0.826,0.999,0.972,0.975,0.03,0.024,0.8,0.0,0.001
D595,0.397,0.15,0.075,0.056,0.957,0.824,0.142,0.063,0.063,0.069,0.437,0.13,0.046,0.936,0.981,0.998,0.972,0.979,0.03,0.024,0.8,0.0,0.0
D596,0.409,0.251,0.133,0.038,0.946,0.83,0.22,0.109,0.116,0.104,0.451,0.197,0.093,0.988,0.988,0.986,0.761,0.937,0.03,0.024,0.8,0.0,0.0
D597,0.267,0.041,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.392,0.004,0.0,0.83,0.916,0.993,0.813,0.954,0.03,0.025,0.85,0.0,0.0
D598,0.315,0.057,0.029,0.021,0.801,0.164,0.013,0.006,0.009,0.008,0.401,0.015,0.009,0.788,0.95,0.993,0.809,0.95,0.03,0.025,0.85,0.001,0.002
D599,0.362,0.112,0.058,0.062,0.933,0.737,0.055,0.034,0.022,0.028,0.417,0.057,0.024,0.855,0.97,0.99,0.747,0.952,0.03,0.025,0.85,0.0,0.0
D6,0.393,0.584,0.363,0.02,0.675,0.403,0.111,0.236,0.179,0.145,0.429,0.26,0.146,0.779,0.983,0.97,0.616,0.881,0.03,0.024,0.8,0.001,0.004
D60,0.446,0.539,0.319,0.022,0.949,0.633,0.143,0.227,0.173,0.154,0.462,0.307,0.149,0.982,0.987,0.992,0.854,0.949,0.06,0.051,0.85,0.003,0.009
D600,0.406,0.258,0.14,0.037,0.927,0.791,0.152,0.096,0.087,0.081,0.446,0.167,0.081,0.972,0.987,0.995,0.858,0.956,0.03,0.025,0.85,0.0,0.001
D601,0.201,0.058,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.277,0.0,0.0,0.066,0.524,0.983,0.735,0.926,0.03,0.024,0.8,0.0,0.0
D602,0.287,0.09,0.021,0.015,0.707,0.085,0.04,0.013,0.016,0.011,0.379,0.022,0.009,0.481,0.901,0.987,0.761,0.912,0.03,0.024,0.8,0.0,0.0
D603,0.369,0.164,0.066,0.027,0.928,0.678,0.15,0.054,0.043,0.052,0.43,0.109,0.064,0.91,0.977,0.986,0.752,0.929,0.03,0.022,0.75,0.0,0.0
D604,0.418,0.292,0.137,0.044,0.967,0.861,0.312,0.107,0.106,0.1,0.448,0.193,0.103,0.984,0.989,0.99,0.817,0.933,0.03,0.022,0.75,0.0,0.001
D605,0.269,0.15,0.051,0.002,0.303,0.0,0.002,0.006,0.004,0.016,0.38,0.033,0.016,0.527,0.918,0.99,0.762,0.947,0.03,0.022,0.75,0.0,0.0
D606,0.319,0.16,0.06,0.007,0.76,0.339,0.022,0.025,0.009,0.024,0.386,0.049,0.019,0.663,0.943,0.992,0.81,0.953,0.03,0.022,0.75,0.001,0.001
D607,0.372,0.234,0.101,0.022,0.912,0.722,0.091,0.067,0.048,0.054,0.422,0.106,0.054,0.887,0.981,0.988,0.752,0.943,0.03,0.022,0.75,0.0,0.0
D608,0.419,0.364,0.19,0.022,0.94,0.813,0.201,0.131,0.1,0.107,0.447,0.221,0.107,0.955,0.99,0.995,0.851,0.97,0.03,0.022,0.75,0.0,0.001
D609,0.151,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.1,0.0,0.0,0.003,0.5,0.906,0.468,0.816,0.015,0.007,0.5,0.0,0.0
D61,0.462,0.776,0.449,0.019,0.964,0.579,0.185,0.275,0.245,0.121,0.455,0.206,0.14,0.991,0.983,0.994,0.918,0.962,0.06,0.048,0.8,0.001,0.002
D610,0.189,0.013,0.005,0.001,0.363,0.003,0.02,0.004,0.009,0.009,0.154,0.018,0.001,0.061,0.7,0.929,0.505,0.849,0.015,0.007,0.5,0.0,0.0
D611,0.341,0.116,0.06,0.351,0.952,0.866,0.235,0.054,0.052,0.048,0.371,0.09,0.055,0.434,0.973,0.943,0.523,0.86,0.015,0.007,0.5,0.0,0.001
D612,0.378,0.21,0.115,0.321,0.972,0.899,0.357,0.096,0.084,0.096,0.406,0.197,0.101,0.624,0.988,0.948,0.518,0.866,0.015,0.007,0.5,0.001,0.003
D613,0.18,0.012,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.167,0.0,0.0,0.019,0.74,0.966,0.522,0.906,0.015,0.009,0.6,0.001,0.001
D614,0.251,0.03,0.015,0.181,0.658,0.327,0.027,0.009,0.018,0.009,0.213,0.015,0.004,0.113,0.878,0.966,0.536,0.901,0.015,0.009,0.6,0.0,0.0
